,,,,Cycle time,,,,,,,Cost,,,,,,,,Survey,,,,,Calculated,,,,,,,,,,
7141.42739.5125,3,2,2,55,57,11,70,13,41,247, $1.24 , $0.15 , $0.59 , $0.92 , $0.17 , $0.08 , $3.15 , $5.00 ,7,14,19,37,77,,,,,,,,,,,
7141.42739.5264,6,2,1,53,34,24,38,20,44,213, $0.53 , $0.15 , $0.48 , $1.46 , $0.22 , $0.08 , $2.92 , $5.00 ,7,-5,35,39,76,,,,,,,,,,,
7141.42739.5285,4,2,2,102,50,29,52,14,31,278, $1.39 , $0.15 , $0.37 , $0.70 , $0.19 , $0.08 , $2.88 , $5.00 ,6,2,17,19,44,,,,,,,,,,,
7141.42739.5299,7,2,2,39,19,21,64,15,26,184, $0.92 , $0.30 , $0.21 , $1.10 , $0.12 , $0.08 , $2.73 , $5.00 ,7,6,31,20,64,,,,,,,,,,,
7141.42739.5444,7,2,2,32,36,22,47,14,18,169, $0.85 , $0.15 , $0.28 , $1.15 , $0.15 , $0.08 , $2.66 , $5.00 ,5,16,35,13,69,,,,,,,,,,,
7141.42739.5458,6,2,1,42,34,21,41,24,90,252, $0.63 , $0.15 , $0.58 , $1.48 , $0.14 , $0.16 , $3.14 , $5.00 ,7,5,37,28,77,,,,,,,,,#DIV/0!,,
7141.42739.5875,1,2,1,46,36,12,47,23,48,212, $0.53 , $0.15 , $0.31 , $0.64 , $0.10 , $0.08 , $1.81 , $5.00 ,5,9,29,26,69,,,,,,,,,#DIV/0!,,
7141.42739.5972,1,1,1,23,24,10,61,20,19,157, $0.39 , $0.10 , $0.15 , $0.32 , $0.16 , $0.05 , $1.17 , $3.75 ,8,25,24,34,91,,,,,,,,,#DIV/0!,,
7141.42739.6014,1,2,1,38,50,12,61,19,36,216, $0.54 , $0.15 , $0.32 , $0.57 , $0.26 , $0.08 , $1.92 , $5.00 ,7,8,26,37,78,,,,,,,,,#DIV/0!,,
7141.42739.6028,1,2,2,42,48,16,41,10,13,170, $0.85 , $0.15 , $0.35 , $0.60 , $0.24 , $0.08 , $2.27 , $5.00 ,4,26,17,18,65,,,,,,,,,#DIV/0!,,
7141.42739.6056,6,2,2,39,25,27,61,15,34,201, $1.01 , $0.15 , $0.44 , $1.29 , $0.11 , $0.08 , $3.08 , $5.00 ,4,22,40,27,93,,,,,,,,,,,
7141.42739.6424,5,2,1,38,32,12,55,28,41,206, $0.52 , $0.15 , $0.33 , $1.15 , $0.20 , $0.08 , $2.43 , $5.00 ,9,19,20,21,69,,,,,,,,,,,
7141.42739.6618,5,1,1,47,22,8,33,23,38,171, $0.43 , $0.10 , $0.13 , $0.52 , $0.08 , $0.05 , $1.31 , $4.75 ,6,9,26,27,68,,,,,,,,,,,
7141.42739.6778,6,2,2,89,49,23,37,14,111,323, $1.62 , $0.15 , $0.68 , $2.49 , $0.21 , $0.08 , $5.23 , $5.00 ,8,-17,42,21,54,,,,,,,,,,,
7141.42739.6813,5,1,1,88,22,8,25,17,185,345, $0.86 , $0.10 , $0.35 , $0.97 , $0.02 , $0.05 , $2.35 , $4.75 ,8,-32,15,28,19,,,,,,,,,,,
7141.42739.6875,3,1,2,75,27,11,43,15,126,297, $1.49 , $0.10 , $0.37 , $0.79 , $0.07 , $0.05 , $2.87 , $4.25 ,5,-7,28,37,63,,,,,,,,,#DIV/0!,,
7141.42739.6896,7,2,3,59,18,26,77,16,125,321, $2.41 , $0.15 , $0.43 , $1.71 , $0.26 , $0.08 , $5.04 , $5.00 ,8,-8,29,38,67,,,,,,,,,#DIV/0!,,
7141.42739.7028,1,2,3,56,37,16,63,13,135,320, $2.40 , $0.15 , $0.48 , $1.20 , $0.18 , $0.08 , $4.49 , $5.00 ,4,5,26,7,42,,,,,,,,,#DIV/0!,,
7141.42739.7118,6,1,3,64,22,14,36,13,122,271, $2.03 , $0.10 , $0.40 , $1.19 , $0.06 , $0.05 , $3.83 , $4.75 ,1,8,16,32,57,,,,,,,,,#DIV/0!,,
7141.42739.7222,5,2,2,84,29,12,48,18,126,317, $1.59 , $0.15 , $0.55 , $2.09 , $0.17 , $0.08 , $4.63 , $5.00 ,10,17,31,41,99,,,,,,,,,#DIV/0!,,
7141.42739.7222,6,2,3,65,38,22,55,15,111,306, $2.30 , $0.15 , $0.78 , $2.29 , $0.15 , $0.08 , $5.75 , $5.00 ,5,-10,13,41,49,,,,,,,,,#DIV/0!,,
7141.42739.7285,7,2,3,59,22,26,57,14,138,316, $2.37 , $0.15 , $0.41 , $1.82 , $0.12 , $0.08 , $4.95 , $5.00 ,5,-10,13,22,30,,,,,,,,,#DIV/0!,,
7141.42739.7313,3,1,2,87,51,10,49,12,145,354, $1.77 , $0.10 , $0.30 , $0.74 , $0.11 , $0.05 , $3.07 , $4.25 ,7,-7,14,24,38,,,,,,,,,,,
7141.42739.7326,6,1,3,46,14,18,27,15,116,236, $1.77 , $0.10 , $0.41 , $1.44 , $0.03 , $0.05 , $3.80 , $4.75 ,7,10,23,34,74,,,,,,,,,,,
7141.42739.7340,4,2,3,116,24,27,51,20,127,365, $2.74 , $0.15 , $0.40 , $1.18 , $0.16 , $0.08 , $4.71 , $5.00 ,9,-25,19,31,34,,,,,,,,,,,
7141.42739.7347,4,1,2,155,30,18,42,12,130,387, $1.94 , $0.10 , $0.20 , $0.68 , $0.14 , $0.05 , $3.11 , $3.75 ,6,-18,31,17,36,,,,,,,,,,,
7141.42739.7361,6,2,1,104,45,23,41,19,177,409, $1.02 , $0.15 , $0.90 , $2.39 , $0.19 , $0.08 , $4.73 , $5.00 ,4,-27,52,31,60,,,,,,,,,#DIV/0!,,
7141.42739.7361,3,1,1,65,60,8,82,19,173,407, $1.02 , $0.10 , $0.37 , $0.64 , $0.09 , $0.05 , $2.27 , $4.25 ,7,-9,24,41,63,,,,,,,,,#DIV/0!,,
7141.42739.7403,3,2,2,60,27,17,53,15,104,276, $1.38 , $0.15 , $0.75 , $1.50 , $0.20 , $0.08 , $4.06 , $5.00 ,5,-7,40,32,70,,,,,,,,,#DIV/0!,,
7141.42739.7424,1,1,3,52,24,11,49,11,126,273, $2.05 , $0.10 , $0.44 , $0.71 , $0.21 , $0.05 , $3.56 , $3.75 ,3,-27,32,19,27,,,,,,,,,#DIV/0!,,
7141.42739.7493,2,2,2,99,35,19,75,12,118,358, $1.79 , $0.15 , $0.64 , $1.18 , $0.22 , $0.08 , $4.06 , $5.00 ,6,-17,39,26,54,,,,,,,,,#DIV/0!,,
7141.42739.7521,6,2,3,56,24,24,58,16,113,291, $2.18 , $0.30 , $0.75 , $2.39 , $0.26 , $0.08 , $5.96 , $5.00 ,3,-16,34,20,41,,,,,,,,,,,
7141.42739.7597,2,2,3,60,27,15,76,15,123,316, $2.37 , $0.15 , $0.61 , $1.28 , $0.28 , $0.16 , $4.85 , $5.00 ,6,-25,23,6,10,,,,,,,,,,,
7141.42739.7597,1,2,3,63,28,18,30,12,127,278, $2.09 , $0.15 , $0.61 , $1.15 , $0.15 , $0.08 , $4.23 , $5.00 ,2,-27,33,14,22,,,,,,,,,,,
7141.42739.7625,7,2,2,95,24,26,76,18,117,356, $1.78 , $0.15 , $0.45 , $1.82 , $0.20 , $0.08 , $4.48 , $5.00 ,7,0,24,37,68,,,,,,,,,,,
7141.42739.7632,6,2,2,82,61,30,23,17,131,344, $1.72 , $0.15 , $0.85 , $2.34 , $0.17 , $0.08 , $5.31 , $5.00 ,8,-18,24,38,52,,,,,,,,,-0.314724142,,
7141.42739.7646,1,2,2,84,49,18,63,17,114,345, $1.73 , $0.15 , $0.59 , $1.22 , $0.25 , $0.08 , $4.02 , $5.00 ,6,-19,33,21,41,,,,,,,,,-6.557616284,,
7141.42739.7653,5,2,1,92,39,11,58,20,181,401, $1.00 , $0.15 , $0.61 , $2.22 , $0.19 , $0.08 , $4.25 , $5.00 ,3,-31,25,27,24,,,,,,,,,-0.009638846,,
7141.42739.7653,2,2,3,61,24,18,93,13,121,330, $2.48 , $0.15 , $0.68 , $1.28 , $0.18 , $0.08 , $4.85 , $5.00 ,7,12,39,31,89,,,,,,,,,9.29074E-05,,
7141.42739.7688,4,2,1,201,46,27,71,21,161,527, $1.32 , $0.15 , $0.46 , $1.17 , $0.15 , $0.08 , $3.33 , $5.00 ,9,-27,33,9,24,,,,,,,,,,,
7141.42739.7701,1,1,1,81,40,8,35,18,170,352, $0.88 , $0.10 , $0.27 , $0.56 , $0.11 , $0.05 , $1.97 , $3.75 ,6,-26,13,22,15,,,,,,,,,,,
7141.42739.7715,2,2,2,81,42,18,71,13,114,339, $1.70 , $0.15 , $0.56 , $1.25 , $0.21 , $0.08 , $3.95 , $5.00 ,5,12,11,40,68,,,,,,,,,,,
7141.42739.7736,1,1,2,82,34,8,44,13,115,296, $1.48 , $0.10 , $0.37 , $0.60 , $0.18 , $0.05 , $2.78 , $3.75 ,7,1,13,15,36,,,,,,,,,,,
7141.42739.7813,6,2,2,62,45,24,43,13,108,295, $1.48 , $0.15 , $0.74 , $2.36 , $0.23 , $0.08 , $5.04 , $5.00 ,8,3,44,27,82,,,,,,,,,,,
7141.42739.7813,6,1,2,80,42,14,54,15,107,312, $1.56 , $0.10 , $0.38 , $1.30 , $0.15 , $0.05 , $3.54 , $4.75 ,7,-23,17,37,38,,,,,,,,,,,
7141.42739.7826,5,2,2,78,38,10,50,19,134,329, $1.65 , $0.15 , $0.59 , $2.11 , $0.23 , $0.08 , $4.81 , $5.00 ,9,-18,8,33,32,,,,,,,,,,,
7141.42739.7826,1,1,2,78,25,7,45,12,124,291, $1.46 , $0.10 , $0.31 , $0.61 , $0.10 , $0.05 , $2.63 , $3.75 ,6,-26,26,16,22,,,,,,,,,,,
7141.42739.7910,2,2,2,95,45,19,50,14,112,335, $1.68 , $0.15 , $0.46 , $1.21 , $0.19 , $0.08 , $3.77 , $5.00 ,2,-16,7,23,16,,,,,,,,,,,
7141.42739.7931,1,1,3,50,19,12,40,20,115,256, $1.92 , $0.10 , $0.28 , $0.63 , $0.05 , $0.05 , $3.03 , $3.75 ,5,-7,26,39,63,,,,,,,,,,,
7141.42739.7938,1,1,1,88,42,11,70,19,188,418, $1.05 , $0.10 , $0.33 , $0.62 , $0.09 , $0.05 , $2.24 , $3.75 ,8,-29,22,15,16,,,,,,,,,,,
7141.42739.7951,1,2,2,79,47,13,55,12,106,312, $1.56 , $0.15 , $0.60 , $1.15 , $0.12 , $0.08 , $3.66 , $5.00 ,8,-23,36,32,53,,,,,,,,,,,
7141.42739.8014,5,2,1,94,24,12,42,23,167,362, $0.91 , $0.15 , $0.60 , $2.13 , $0.18 , $0.08 , $4.05 , $5.00 ,2,-36,34,35,35,,,,,,,,,,,
7141.42739.8021,5,2,3,55,22,10,61,14,119,281, $2.11 , $0.15 , $0.60 , $2.00 , $0.20 , $0.08 , $5.14 , $5.00 ,9,-26,44,21,48,,,,,,,,,,,
7141.42739.8035,2,1,2,80,35,13,84,12,118,342, $1.71 , $0.10 , $0.36 , $0.71 , $0.17 , $0.05 , $3.10 , $3.75 ,6,-9,27,41,65,,,,,,,,,,,
7141.42739.8049,3,2,3,55,34,12,70,9,109,289, $2.17 , $0.15 , $0.76 , $1.48 , $0.18 , $0.08 , $4.82 , $5.00 ,4,-18,34,32,52,,,,,,,,,,,
7141.42739.8056,1,1,3,56,32,9,72,10,113,292, $2.19 , $0.10 , $0.33 , $0.58 , $(0.01), $0.05 , $3.24 , $3.75 ,9,13,12,38,72,,,,,,,,,,,
7141.42739.8090,3,1,2,65,39,11,53,12,120,300, $1.50 , $0.10 , $0.29 , $0.67 , $0.09 , $0.05 , $2.70 , $4.25 ,5,-24,21,25,27,,,,,,,,,,,
7141.42739.8090,3,2,2,78,37,14,77,15,137,358, $1.79 , $0.15 , $0.71 , $1.41 , $0.16 , $0.08 , $4.30 , $5.00 ,7,-4,26,9,38,,,,,,,,,,,
7141.42739.8111,6,1,3,59,21,16,48,13,119,276, $2.07 , $0.10 , $0.42 , $1.23 , $0.17 , $0.05 , $4.04 , $4.75 ,7,-21,9,29,24,,,,,,,,,,,
7141.42739.8118,5,2,2,101,41,10,64,16,112,344, $1.72 , $0.15 , $0.59 , $2.10 , $0.30 , $0.08 , $4.94 , $5.00 ,9,-8,34,31,66,,,,,,,,,,,
7141.42739.8146,6,2,3,65,33,18,41,14,123,294, $2.21 , $0.15 , $0.79 , $2.54 , $0.20 , $0.08 , $5.97 , $5.00 ,8,-7,52,38,91,,,,,,,,,,,
7141.42739.8153,1,2,1,72,30,12,74,20,185,393, $0.98 , $0.15 , $0.54 , $1.23 , $0.20 , $0.08 , $3.18 , $5.00 ,5,-24,23,13,17,,,,,,,,,,,
7141.42739.8167,6,2,2,98,33,23,48,15,118,335, $1.68 , $0.15 , $0.83 , $2.35 , $0.26 , $0.08 , $5.35 , $5.00 ,6,-24,44,21,47,,,,,,,,,,,
7141.42739.8181,7,1,3,56,17,10,37,14,140,274, $2.06 , $0.10 , $0.17 , $0.78 , $0.04 , $0.05 , $3.20 , $4.75 ,5,-17,24,40,52,,,,,,,,,,,
7141.42739.8194,5,2,1,88,35,10,38,19,180,370, $0.93 , $0.15 , $0.61 , $2.21 , $0.24 , $0.08 , $4.22 , $5.00 ,5,-7,44,23,65,,,,,,,,,,,
7141.42739.8201,6,1,1,93,34,11,49,19,172,378, $0.95 , $0.10 , $0.31 , $1.17 , $0.15 , $0.05 , $2.73 , $4.75 ,6,-26,36,23,39,,,,,,,,,,,
7141.42739.8201,1,2,3,58,27,14,61,14,117,291, $2.18 , $0.15 , $0.63 , $1.17 , $0.22 , $0.08 , $4.43 , $5.00 ,8,3,21,39,71,,,,,,,,,,,
7141.42739.8208,1,1,2,86,15,11,44,11,120,287, $1.44 , $0.10 , $0.25 , $0.66 , $0.10 , $0.05 , $2.60 , $3.75 ,8,-26,18,34,34,,,,,,,,,,,
7141.42739.8215,2,2,1,95,36,17,56,23,162,389, $0.97 , $0.15 , $0.65 , $1.24 , $0.32 , $0.08 , $3.41 , $5.00 ,8,-10,19,38,55,,,,,,,,,,,
7141.42739.8222,7,2,2,105,32,20,36,16,123,332, $1.66 , $0.15 , $0.35 , $1.81 , $0.21 , $0.08 , $4.26 , $5.00 ,6,-7,32,23,54,,,,,,,,,,,
7141.42739.8229,5,1,2,80,35,8,29,11,116,279, $1.40 , $0.10 , $0.25 , $1.10 , $0.06 , $0.05 , $2.96 , $4.75 ,8,2,21,37,68,,,,,,,,,,,
7141.42739.8229,5,1,3,64,15,5,62,14,118,278, $2.09 , $0.10 , $0.33 , $1.01 , $0.11 , $0.05 , $3.69 , $4.75 ,5,-22,34,28,45,,,,,,,,,,,
7141.42739.8250,2,1,1,83,42,11,70,18,192,416, $1.04 , $0.10 , $0.24 , $0.68 , $0.19 , $0.05 , $2.30 , $3.75 ,7,-41,11,35,12,,,,,,,,,,,
7141.42739.8264,4,2,1,181,40,25,44,21,191,502, $1.26 , $0.15 , $0.45 , $1.14 , $0.18 , $0.08 , $3.26 , $5.00 ,4,-40,6,42,12,,,,,,,,,,,
7141.42739.8271,4,2,3,129,33,29,78,14,128,411, $3.08 , $0.15 , $0.52 , $1.22 , $0.10 , $0.08 , $5.15 , $5.00 ,3,-23,18,31,29,,,,,,,,,,,
7141.42739.8271,7,1,2,72,25,16,66,15,125,319, $1.60 , $0.10 , $0.21 , $0.82 , $0.11 , $0.05 , $2.89 , $4.75 ,8,9,30,39,86,,,,,,,,,,,
7141.42739.8278,5,1,1,92,30,6,57,21,197,403, $1.01 , $0.10 , $0.27 , $0.90 , $0.06 , $0.05 , $2.39 , $4.75 ,8,4,27,43,82,,,,,,,,,,,
7141.42739.8292,5,2,3,52,19,9,64,15,98,257, $1.93 , $0.15 , $0.52 , $2.15 , $0.19 , $0.08 , $5.02 , $5.00 ,7,-11,38,20,54,,,,,,,,,,,
7141.42739.8292,6,1,2,82,25,12,19,16,103,257, $1.29 , $0.10 , $0.34 , $1.35 , $0.09 , $0.05 , $3.22 , $4.75 ,9,1,32,26,68,,,,,,,,,,,
7141.42739.8306,7,1,1,82,21,18,62,18,170,371, $0.93 , $0.10 , $0.20 , $1.09 , $0.14 , $0.05 , $2.51 , $4.75 ,6,-7,28,19,46,,,,,,,,,,,
7141.42739.8354,1,1,3,60,23,8,74,16,129,310, $2.33 , $0.10 , $0.33 , $0.67 , $0.12 , $0.05 , $3.60 , $3.75 ,8,-24,18,36,38,,,,,,,,,,,
7141.42739.8382,5,2,2,86,34,11,32,15,134,312, $1.56 , $0.15 , $0.56 , $2.08 , $0.20 , $0.08 , $4.63 , $5.00 ,8,-13,42,38,75,,,,,,,,,,,
7141.42739.8389,2,1,3,49,20,14,39,15,110,247, $1.85 , $0.10 , $0.28 , $0.60 , $0.09 , $0.05 , $2.97 , $3.75 ,5,-17,25,32,45,,,,,,,,,,,
7141.42739.8431,5,2,2,99,29,9,60,16,126,339, $1.70 , $0.15 , $0.60 , $2.16 , $0.23 , $0.08 , $4.92 , $5.00 ,8,-28,40,16,36,,,,,,,,,,,
7141.42739.8451,4,1,2,181,26,18,41,12,115,393, $1.97 , $0.10 , $0.28 , $0.71 , $0.05 , $0.05 , $3.16 , $3.75 ,6,3,25,15,49,,,,,,,,,,,
7141.42739.8458,5,2,2,102,25,8,59,12,133,339, $1.70 , $0.15 , $0.56 , $2.06 , $0.19 , $0.08 , $4.74 , $5.00 ,7,-29,38,14,30,,,,,,,,,,,
7141.42739.8458,4,2,2,177,31,29,17,15,123,392, $1.96 , $0.15 , $0.52 , $1.22 , $0.09 , $0.08 , $4.02 , $5.00 ,8,-20,20,40,48,,,,,,,,,,,
7141.42739.8521,4,1,2,187,14,21,36,13,106,377, $1.89 , $0.10 , $0.26 , $0.65 , $0.11 , $0.05 , $3.06 , $3.75 ,8,-20,8,13,9,,,,,,,,,,,
7141.42739.8535,5,1,3,53,26,7,70,15,119,290, $2.18 , $0.10 , $0.30 , $1.10 , $0.09 , $0.05 , $3.82 , $4.75 ,3,-7,26,18,40,,,,,,,,,,,
7141.42739.8569,6,2,1,96,38,25,67,25,179,430, $1.08 , $0.15 , $0.80 , $2.46 , $0.31 , $0.08 , $4.88 , $5.00 ,6,-3,51,38,92,,,,,,,,,,,
7141.42739.8590,3,2,2,91,42,11,35,14,116,309, $1.55 , $0.15 , $0.65 , $1.46 , $0.18 , $0.08 , $4.07 , $5.00 ,9,-5,43,24,71,,,,,,,,,,,
7141.42739.8597,4,2,1,212,46,29,33,25,169,514, $1.29 , $0.15 , $0.45 , $1.17 , $0.15 , $0.08 , $3.29 , $5.00 ,7,-22,12,40,37,,,,,,,,,,,
7141.42739.8611,5,1,2,77,19,8,54,12,110,280, $1.40 , $0.10 , $0.26 , $1.13 , $0.08 , $0.05 , $3.02 , $4.75 ,4,-25,20,30,29,,,,,,,,,,,
7141.42739.8611,1,2,1,92,54,13,61,21,163,404, $1.01 , $0.15 , $0.59 , $1.25 , $0.10 , $0.08 , $3.18 , $5.00 ,6,-5,37,32,70,,,,,,,,,,,
7141.42739.8625,6,2,3,61,32,28,52,18,124,315, $2.36 , $0.15 , $0.77 , $2.61 , $0.23 , $0.08 , $6.20 , $5.00 ,2,4,49,34,89,,,,,,,,,,,
7141.42739.8653,5,2,2,97,29,11,50,13,116,316, $1.58 , $0.15 , $0.66 , $2.11 , $0.19 , $0.08 , $4.77 , $5.00 ,7,-23,44,30,58,,,,,,,,,,,
7141.42739.8653,1,2,1,81,42,14,59,20,151,367, $0.92 , $0.15 , $0.59 , $1.23 , $0.13 , $0.08 , $3.10 , $5.00 ,5,-32,11,24,8,,,,,,,,,,,
7141.42739.8667,6,2,2,95,38,20,42,15,131,341, $1.71 , $0.15 , $0.73 , $2.41 , $0.17 , $0.08 , $5.25 , $5.00 ,8,-4,44,20,68,,,,,,,,,,,
7141.42739.8750,4,2,1,46,33,25,40,15,43,202, $0.51 , $0.30 , $0.22 , $0.57 , $0.15 , $0.08 , $1.83 , $5.00 ,8,18,15,11,52,,,,,,,,,,,
7141.42739.8771,7,1,1,45,24,23,68,17,46,223, $0.56 , $0.10 , $0.06 , $0.49 , $0.09 , $0.05 , $1.35 , $4.75 ,7,16,24,38,85,,,,,,,,,,,
7141.42739.8771,7,1,2,53,22,17,48,14,28,182, $0.91 , $0.10 , $0.07 , $0.41 , $0.11 , $0.10 , $1.70 , $4.75 ,10,23,20,14,67,,,,,,,,,,,
7141.42739.8778,4,1,2,47,33,20,27,12,37,176, $0.88 , $0.10 , $0.16 , $0.38 , $0.14 , $0.05 , $1.71 , $3.75 ,2,14,21,36,73,,,,,,,,,,,
7141.42739.8833,3,1,2,45,35,8,34,12,26,160, $0.80 , $0.10 , $0.22 , $0.35 , $0.13 , $0.05 , $1.65 , $4.25 ,6,25,22,34,87,,,,,,,,,,,
7141.42739.8847,5,2,2,49,29,13,35,15,36,177, $0.89 , $0.15 , $0.24 , $1.02 , $0.18 , $0.08 , $2.56 , $5.00 ,3,22,23,17,65,,,,,,,,,,,
7141.42740.4403,6,2,1,42,40,22,51,17,39,211, $0.53 , $0.15 , $0.45 , $1.08 , $0.29 , $0.08 , $2.58 , $5.00 ,8,14,12,30,64,,,,,,,,,,,
7141.42740.4486,2,1,2,30,38,10,27,12,27,144, $0.72 , $0.10 , $0.09 , $0.23 , $0.03 , $0.05 , $1.22 , $3.75 ,7,23,1,17,48,,,,,,,,,,,
7141.42740.4792,6,2,2,48,51,19,27,13,10,168, $0.84 , $0.15 , $0.52 , $1.69 , $0.24 , $0.08 , $3.52 , $5.00 ,9,7,23,10,49,,,,,,,,,,,
7141.42740.4840,5,1,1,38,36,7,49,16,52,198, $0.50 , $0.10 , $0.18 , $0.56 , $0.09 , $0.05 , $1.48 , $4.75 ,4,-7,9,18,24,,,,,,,,,,,
7141.42740.4889,5,2,1,53,27,10,60,26,12,188, $0.47 , $0.15 , $0.32 , $1.30 , $0.23 , $0.08 , $2.55 , $5.00 ,7,19,13,36,75,,,,,,,,,,,
7141.42740.4896,1,2,2,36,40,13,47,13,7,156, $0.78 , $0.15 , $0.42 , $0.75 , $0.22 , $0.08 , $2.40 , $5.00 ,7,14,12,26,59,,,,,,,,,,,
7141.42740.5139,6,2,2,68,51,22,57,18,37,253, $1.27 , $0.15 , $0.43 , $1.65 , $0.10 , $0.08 , $3.68 , $5.00 ,8,0,23,19,50,,,,,,,,,,,
7141.42740.5153,6,2,2,30,40,23,49,14,24,180, $0.90 , $0.30 , $0.44 , $1.55 , $0.16 , $0.08 , $3.43 , $5.00 ,5,10,10,30,55,,,,,,,,,,,
7141.42740.5215,1,1,1,53,38,10,48,21,64,234, $0.59 , $0.10 , $0.23 , $0.44 , $0.14 , $0.05 , $1.55 , $3.75 ,5,0,17,36,58,,,,,,,,,,,
7141.42740.5264,6,1,2,38,26,12,32,13,39,160, $0.80 , $0.10 , $0.29 , $0.60 , $0.01 , $0.05 , $1.85 , $4.75 ,8,-3,9,16,30,,,,,,,,,,,
7141.42740.5271,6,2,1,59,49,14,31,26,43,222, $0.56 , $0.30 , $0.54 , $1.40 , $0.22 , $0.08 , $3.10 , $5.00 ,7,16,32,19,74,,,,,,,,,,,
7141.42740.5299,3,2,2,59,34,16,60,9,30,208, $1.04 , $0.15 , $0.48 , $0.78 , $0.13 , $0.08 , $2.66 , $5.00 ,7,5,24,19,55,,,,,,,,,,,
7141.42740.5361,3,1,2,42,52,12,57,14,14,191, $0.96 , $0.10 , $0.13 , $0.38 , $0.09 , $0.05 , $1.71 , $4.25 ,6,6,26,21,59,,,,,,,,,,,
7141.42740.5368,2,2,2,57,26,18,59,16,40,216, $1.08 , $0.15 , $0.41 , $0.86 , $0.29 , $0.08 , $2.87 , $5.00 ,9,-1,25,27,60,,,,,,,,,,,
7141.42740.5431,4,2,2,72,46,23,75,10,34,260, $1.30 , $0.15 , $0.30 , $0.82 , $0.13 , $0.08 , $2.78 , $5.00 ,3,6,15,15,39,,,,,,,,,,,
7141.42740.6222,5,1,2,28,20,5,39,16,33,141, $0.71 , $0.10 , $0.09 , $0.62 , $0.10 , $0.05 , $1.67 , $4.75 ,6,7,17,23,53,,,,,,,,,,,
7141.42740.6361,2,1,2,30,45,12,51,12,37,187, $0.94 , $0.10 , $0.12 , $0.31 , $0.18 , $0.05 , $1.70 , $3.75 ,10,10,16,12,48,,,,,,,,,,,
7141.42740.6368,6,2,2,37,41,21,49,19,30,197, $0.99 , $0.15 , $0.34 , $1.02 , $0.10 , $0.08 , $2.68 , $5.00 ,9,14,29,31,83,,,,,,,,,,,
7141.42740.6556,1,1,1,38,47,8,47,16,54,210, $0.53 , $0.10 , $0.22 , $0.27 , $0.07 , $0.05 , $1.24 , $3.75 ,6,16,2,23,47,,,,,,,,,,,
7141.42740.6653,1,1,1,46,32,6,80,22,29,215, $0.54 , $0.20 , $0.15 , $0.29 , $0.18 , $0.05 , $1.41 , $3.75 ,7,18,16,25,66,,,,,,,,,,,
7141.42740.6653,2,1,2,43,34,13,73,15,26,204, $1.02 , $0.10 , $0.09 , $0.31 , $0.11 , $0.05 , $1.68 , $3.75 ,9,25,26,15,75,,,,,,,,,,,
