,,,,Cycle time,,,,,,,Cost,,,,,,,,Survey,,,,,Calculated,,,,,,,,,,
8973.42739.5153,3,2,2,52,117,18,14,17,61,279, $1.40 , $0.15 , $0.43 , $0.92 , $0.18 , $0.08 , $3.16 , $5.00 ,2,-11,35,39,65,,,,,,,,,#DIV/0!,,
8973.42739.5167,6,2,1,49,76,27,57,18,94,321, $0.80 , $0.15 , $0.41 , $1.60 , $0.18 , $0.08 , $3.22 , $5.00 ,7,-17,43,34,67,,,,,,,,,#DIV/0!,,
8973.42739.5181,1,1,1,42,69,6,76,23,79,295, $0.74 , $0.10 , $0.14 , $0.27 , $0.06 , $0.05 , $1.36 , $3.75 ,8,-3,17,16,38,,,,,,,,,#DIV/0!,,
8973.42739.5229,4,2,1,89,86,37,68,23,115,418, $1.05 , $0.15 , $0.32 , $0.82 , $0.24 , $0.08 , $2.66 , $5.00 ,7,-18,25,34,48,,,,,,,,,#DIV/0!,,
8973.42739.5278,5,2,2,39,48,12,43,14,60,216, $1.08 , $0.15 , $0.32 , $1.17 , $0.16 , $0.08 , $2.96 , $5.00 ,7,-11,17,36,49,,,,,,,,,#DIV/0!,,
8973.42739.5354,5,1,3,24,39,10,35,16,96,220, $1.65 , $0.10 , $0.20 , $0.60 , $0.01 , $0.05 , $2.61 , $4.75 ,8,-14,3,38,35,,,,,,,,,,,
8973.42739.5389,2,1,3,28,45,12,51,14,96,246, $1.85 , $0.10 , $0.21 , $0.37 , $0.18 , $0.05 , $2.76 , $3.75 ,8,-19,16,38,43,,,,,,,,,,,
8973.42739.5403,1,2,3,23,68,14,70,17,92,284, $2.13 , $0.15 , $0.43 , $0.71 , $0.26 , $0.08 , $3.76 , $5.00 ,5,-21,27,18,29,,,,,,,,,,,
8973.42739.5417,1,1,1,37,78,11,37,22,125,310, $0.78 , $0.10 , $0.15 , $0.32 , $0.05 , $0.05 , $1.45 , $3.75 ,6,3,24,32,65,,,,,,,,,,,
8973.42739.5493,7,2,2,51,61,25,42,13,84,276, $1.38 , $0.15 , $0.32 , $1.24 , $0.18 , $0.08 , $3.35 , $5.00 ,6,-17,31,34,54,,,,,,,,,,,
8973.42739.5521,6,2,1,59,63,21,41,16,115,315, $0.79 , $0.30 , $0.46 , $1.65 , $0.18 , $0.08 , $3.46 , $5.00 ,5,-10,5,39,39,,,,,,,,,#DIV/0!,,
8973.42739.5528,3,1,1,45,91,10,63,25,149,383, $0.96 , $0.10 , $0.10 , $0.55 , $0.12 , $0.05 , $1.88 , $4.25 ,4,-5,21,39,59,,,,,,,,,#DIV/0!,,
8973.42739.5535,5,1,3,16,30,5,45,15,83,194, $1.46 , $0.10 , $0.30 , $0.66 , $0.12 , $0.05 , $2.69 , $4.75 ,8,2,22,23,55,,,,,,,,,#DIV/0!,,
8973.42739.5583,2,1,1,46,67,9,72,24,114,332, $0.83 , $0.10 , $0.18 , $0.41 , $0.17 , $0.05 , $1.74 , $3.75 ,7,-18,19,26,34,,,,,,,,,#DIV/0!,,
8973.42739.5583,6,1,2,38,69,14,32,16,129,298, $1.49 , $0.10 , $0.13 , $0.92 , $0.11 , $0.05 , $2.80 , $4.75 ,7,-26,27,22,30,,,,,,,,,#DIV/0!,,
8973.42739.5597,6,2,2,55,88,26,56,16,92,333, $1.67 , $0.15 , $0.61 , $1.59 , $0.15 , $0.08 , $4.25 , $5.00 ,8,6,17,32,63,,,,,,,,,#DIV/0!,,
8973.42739.5632,2,2,2,53,89,22,72,13,76,325, $1.63 , $0.15 , $0.32 , $0.79 , $0.23 , $0.08 , $3.20 , $5.00 ,5,3,12,15,35,,,,,,,,,#DIV/0!,,
8973.42739.5701,1,2,2,45,73,12,45,16,107,298, $1.49 , $0.15 , $0.43 , $0.82 , $0.24 , $0.08 , $3.21 , $5.00 ,8,-23,17,34,36,,,,,,,,,,,
8973.42739.5750,1,1,2,53,81,17,54,14,42,261, $1.31 , $0.10 , $0.23 , $0.39 , $0.14 , $0.05 , $2.22 , $3.75 ,7,-1,20,36,62,,,,,,,,,,,
8973.42739.5757,5,1,2,53,74,7,38,12,86,270, $1.35 , $0.10 , $0.11 , $0.75 , $0.13 , $0.05 , $2.49 , $4.75 ,3,-16,27,35,49,,,,,,,,,,,
8973.42739.5778,5,2,2,58,51,11,41,12,75,248, $1.24 , $0.15 , $0.33 , $1.18 , $0.17 , $0.08 , $3.15 , $5.00 ,7,-4,29,33,65,,,,,,,,,,,
8973.42739.5840,1,2,2,47,42,15,68,18,18,208, $1.04 , $0.15 , $0.37 , $0.57 , $0.13 , $0.08 , $2.34 , $5.00 ,4,22,30,27,83,,,,,,,,,#DIV/0!,,
8973.42739.5882,1,2,2,43,25,13,33,14,33,161, $0.81 , $0.15 , $0.29 , $0.58 , $0.27 , $0.08 , $2.18 , $5.00 ,6,25,25,37,93,,,,,,,,,#DIV/0!,,
8973.42739.5882,3,1,1,33,39,10,26,17,51,176, $0.44 , $0.10 , $0.27 , $0.28 , $0.13 , $0.05 , $1.27 , $4.25 ,7,20,3,27,57,,,,,,,,,#DIV/0!,,
8973.42739.5882,3,1,2,43,54,14,68,14,17,210, $1.05 , $0.10 , $0.27 , $0.37 , $0.14 , $0.05 , $1.98 , $4.25 ,6,22,26,27,81,,,,,,,,,#DIV/0!,,
8973.42739.5938,4,1,1,39,39,26,65,15,40,224, $0.56 , $0.10 , $0.14 , $0.41 , $0.13 , $0.05 , $1.39 , $3.75 ,3,9,18,18,48,,,,,,,,,#DIV/0!,,
8973.42739.5951,3,2,3,9,31,17,57,12,26,152, $1.14 , $0.15 , $0.23 , $0.76 , $0.18 , $0.08 , $2.54 , $5.00 ,8,24,30,22,84,,,,,,,,,,,
8973.42739.5979,1,2,2,58,34,13,60,15,30,210, $1.05 , $0.15 , $0.32 , $0.56 , $0.20 , $0.08 , $2.36 , $5.00 ,8,23,5,18,54,,,,,,,,,,,
8973.42739.5986,1,1,1,43,37,12,63,21,47,223, $0.56 , $0.10 , $0.11 , $0.41 , $0.07 , $0.05 , $1.30 , $3.75 ,9,22,6,27,64,,,,,,,,,,,
8973.42739.6049,1,1,3,26,22,11,18,13,30,120, $0.90 , $0.10 , $0.11 , $0.27 , $0.07 , $0.05 , $1.50 , $3.75 ,5,21,6,11,43,,,,,,,,,,,
8973.42739.6056,3,2,3,29,28,16,79,19,43,214, $1.61 , $0.15 , $0.38 , $0.84 , $0.21 , $0.08 , $3.27 , $5.00 ,5,16,24,23,68,,,,,,,,,-0.260121352,,
8973.42739.6069,3,2,1,40,42,17,44,20,59,222, $0.56 , $0.15 , $0.40 , $0.83 , $0.07 , $0.08 , $2.09 , $5.00 ,9,13,26,28,76,,,,,,,,,4.430397461,,
8973.42739.6076,5,1,2,61,28,8,42,14,31,184, $0.92 , $0.10 , $0.13 , $0.40 , $0.11 , $0.05 , $1.71 , $4.75 ,4,17,9,15,45,,,,,,,,,-0.009798238,,
8973.42739.6097,6,2,2,43,27,21,38,17,38,184, $0.92 , $0.15 , $0.37 , $1.40 , $0.21 , $0.08 , $3.13 , $5.00 ,9,9,20,37,75,,,,,,,,,9.60055E-05,,
8973.42739.6125,5,2,1,41,28,7,49,22,49,196, $0.49 , $0.30 , $0.18 , $0.99 , $0.20 , $0.08 , $2.24 , $5.00 ,8,18,28,14,68,,,,,,,,,,,
8973.42739.6271,1,2,2,40,46,15,68,14,47,230, $1.15 , $0.15 , $0.37 , $0.62 , $0.23 , $0.08 , $2.60 , $5.00 ,9,22,12,15,58,,,,,,,,,,,
8973.42739.6292,7,2,1,46,12,33,29,27,48,195, $0.49 , $0.15 , $0.20 , $0.86 , $0.24 , $0.08 , $2.02 , $5.00 ,5,18,29,23,75,,,,,,,,,,,
8973.42739.6292,7,2,2,43,34,28,66,14,31,216, $1.08 , $0.30 , $0.25 , $0.93 , $0.09 , $0.08 , $2.73 , $5.00 ,2,24,29,33,88,,,,,,,,,,,
8973.42739.6292,5,1,1,48,26,7,48,21,38,188, $0.47 , $0.10 , $0.11 , $0.47 , $0.12 , $0.05 , $1.32 , $4.75 ,4,12,21,29,66,,,,,,,,,,,
8973.42739.6299,5,1,1,37,27,8,53,17,40,182, $0.46 , $0.10 , $0.13 , $0.55 , $-   , $0.10 , $1.34 , $4.75 ,8,24,25,28,85,,,,,,,,,,,
8973.42739.6306,1,2,1,39,23,13,52,22,40,189, $0.47 , $0.15 , $0.33 , $0.63 , $0.25 , $0.08 , $1.91 , $5.00 ,5,18,15,20,58,,,,,,,,,,,
8973.42739.6319,5,2,1,51,27,10,70,24,34,216, $0.54 , $0.15 , $0.28 , $0.99 , $0.20 , $0.08 , $2.24 , $5.00 ,8,18,28,27,81,,,,,,,,,,,
8973.42739.6354,6,1,2,40,31,15,9,15,24,134, $0.67 , $0.10 , $0.09 , $0.49 , $0.09 , $0.05 , $1.49 , $4.75 ,6,6,25,33,70,,,,,,,,,,,
8973.42739.6382,6,2,1,50,40,26,56,24,51,247, $0.62 , $0.15 , $0.34 , $1.26 , $0.17 , $0.08 , $2.62 , $5.00 ,4,5,37,22,68,,,,,,,,,,,
8973.42739.6486,2,2,2,41,52,17,49,14,30,203, $1.02 , $0.15 , $0.35 , $0.57 , $0.21 , $0.08 , $2.38 , $5.00 ,8,18,15,22,63,,,,,,,,,,,
8973.42739.6507,6,2,2,33,57,18,50,15,27,200, $1.00 , $0.15 , $0.37 , $1.39 , $0.25 , $0.08 , $3.24 , $5.00 ,8,25,12,26,71,,,,,,,,,,,
8973.42739.6528,1,2,1,37,51,15,71,20,25,219, $0.55 , $0.15 , $0.27 , $0.59 , $0.19 , $0.08 , $1.83 , $5.00 ,9,11,11,25,56,,,,,,,,,,,
8973.42739.6569,7,1,2,60,25,19,46,15,28,193, $0.97 , $0.10 , $0.07 , $0.39 , $0.03 , $0.05 , $1.61 , $4.75 ,3,22,16,28,69,,,,,,,,,,,
8973.42739.6611,1,1,2,44,35,11,48,12,34,184, $0.92 , $0.10 , $0.20 , $0.36 , $0.22 , $0.05 , $1.85 , $3.75 ,7,16,24,11,58,,,,,,,,,,,
8973.42739.6694,1,1,2,33,74,10,55,15,31,218, $1.09 , $0.10 , $0.05 , $0.31 , $0.03 , $0.05 , $1.63 , $3.75 ,7,8,20,15,50,,,,,,,,,,,
8973.42739.6764,7,2,2,49,55,23,59,17,35,238, $1.19 , $0.15 , $0.17 , $0.91 , $0.17 , $0.08 , $2.67 , $5.00 ,6,7,13,9,35,,,,,,,,,,,
8973.42739.6799,1,1,3,38,45,12,9,13,25,142, $1.07 , $0.10 , $0.15 , $0.20 , $0.06 , $0.05 , $1.63 , $3.75 ,6,9,22,33,70,,,,,,,,,,,
8973.42739.6833,3,1,2,45,85,11,69,11,25,246, $1.23 , $0.10 , $0.14 , $0.43 , $0.04 , $0.10 , $2.04 , $4.25 ,8,8,29,33,78,,,,,,,,,,,
8973.42739.6854,1,1,2,46,62,13,40,14,32,207, $1.04 , $0.10 , $0.16 , $0.29 , $0.16 , $0.05 , $1.80 , $3.75 ,8,12,19,31,70,,,,,,,,,,,
8973.42739.6889,5,2,2,32,60,10,61,12,25,200, $1.00 , $0.15 , $0.34 , $1.02 , $0.21 , $0.08 , $2.80 , $5.00 ,7,12,35,23,77,,,,,,,,,,,
8973.42739.6910,7,1,1,36,56,25,33,21,61,232, $0.58 , $0.10 , $0.10 , $0.37 , $0.07 , $0.05 , $1.27 , $4.75 ,5,-3,15,36,53,,,,,,,,,,,
8973.42739.6965,6,2,1,57,84,26,60,26,49,302, $0.76 , $0.15 , $0.35 , $1.17 , $0.24 , $0.08 , $2.75 , $5.00 ,8,-5,19,18,40,,,,,,,,,,,
8973.42739.6972,5,1,1,29,60,8,71,17,41,226, $0.57 , $0.10 , $0.17 , $0.42 , $0.07 , $0.05 , $1.38 , $4.75 ,7,5,11,19,42,,,,,,,,,,,
8973.42739.7035,1,1,3,24,33,11,58,15,21,162, $1.22 , $0.10 , $0.15 , $0.28 , $0.12 , $0.05 , $1.92 , $3.75 ,7,7,17,31,62,,,,,,,,,,,
8973.42739.7063,3,1,3,21,55,11,19,12,34,152, $1.14 , $0.10 , $0.17 , $0.41 , $0.16 , $0.05 , $2.03 , $4.25 ,6,9,16,31,62,,,,,,,,,,,
8973.42739.7083,4,1,2,55,75,19,54,11,24,238, $1.19 , $0.10 , $0.13 , $0.29 , $0.06 , $0.05 , $1.82 , $3.75 ,9,11,11,25,56,,,,,,,,,,,
8973.42739.7097,2,1,2,53,71,13,46,14,30,227, $1.14 , $0.10 , $0.09 , $0.44 , $0.15 , $0.05 , $1.97 , $3.75 ,8,11,24,39,82,,,,,,,,,,,
8973.42739.7097,1,2,1,34,79,18,80,18,22,251, $0.63 , $0.15 , $0.33 , $0.53 , $0.21 , $0.08 , $1.93 , $5.00 ,4,14,27,19,64,,,,,,,,,,,
8973.42739.7188,6,2,3,16,53,26,36,16,16,163, $1.22 , $0.15 , $0.46 , $1.18 , $0.26 , $0.08 , $3.35 , $5.00 ,6,21,25,31,83,,,,,,,,,,,
8973.42739.7292,1,2,1,60,73,14,57,27,47,278, $0.70 , $0.15 , $0.26 , $0.52 , $0.23 , $0.08 , $1.94 , $5.00 ,8,11,23,15,57,,,,,,,,,,,
8973.42739.7403,4,2,2,66,88,31,70,14,28,297, $1.49 , $0.15 , $0.30 , $0.55 , $0.16 , $0.08 , $2.73 , $5.00 ,7,14,24,33,78,,,,,,,,,,,
8973.42739.7424,6,1,3,31,41,13,38,12,41,176, $1.32 , $0.10 , $0.19 , $0.36 , $0.04 , $0.05 , $2.06 , $4.75 ,8,14,7,13,42,,,,,,,,,,,
8973.42739.7424,7,1,2,50,57,21,21,16,23,188, $0.94 , $0.10 , $0.04 , $0.36 , $0.12 , $0.05 , $1.61 , $4.75 ,9,11,21,30,71,,,,,,,,,,,
8973.42739.7521,6,1,2,27,68,13,39,12,36,195, $0.98 , $0.10 , $0.19 , $0.52 , $0.13 , $0.05 , $1.97 , $4.75 ,5,16,26,37,84,,,,,,,,,,,
8973.42739.7569,6,1,1,42,73,16,37,24,47,239, $0.60 , $0.10 , $0.27 , $0.58 , $0.09 , $0.05 , $1.69 , $4.75 ,4,13,24,17,58,,,,,,,,,,,
8973.42739.7583,5,2,2,18,49,12,65,16,25,185, $0.93 , $0.15 , $0.33 , $1.04 , $0.21 , $0.16 , $2.82 , $5.00 ,5,11,9,24,49,,,,,,,,,,,
8973.42739.7597,5,2,3,22,40,10,43,13,39,167, $1.25 , $0.15 , $0.35 , $1.16 , $0.16 , $0.08 , $3.15 , $5.00 ,9,12,25,33,79,,,,,,,,,,,
8973.42739.7611,5,1,3,33,36,8,11,13,42,143, $1.07 , $0.20 , $0.18 , $0.55 , $0.09 , $0.05 , $2.14 , $4.75 ,6,6,22,20,54,,,,,,,,,,,
8973.42739.7611,3,2,2,39,115,17,88,14,26,299, $1.50 , $0.15 , $0.28 , $0.77 , $0.21 , $0.08 , $2.99 , $5.00 ,8,11,28,28,75,,,,,,,,,,,
8973.42739.7660,1,1,3,36,46,12,39,11,30,174, $1.31 , $0.10 , $0.11 , $0.37 , $0.19 , $0.05 , $2.13 , $3.75 ,6,3,19,36,64,,,,,,,,,,,
8973.42739.7681,2,1,1,34,66,8,48,12,56,224, $0.56 , $0.10 , $0.14 , $0.39 , $0.13 , $0.05 , $1.37 , $3.75 ,6,2,28,37,73,,,,,,,,,,,
8973.42739.7701,6,2,1,27,75,21,66,23,43,255, $0.64 , $0.15 , $0.48 , $1.20 , $0.15 , $0.08 , $2.70 , $5.00 ,6,6,25,31,68,,,,,,,,,,,
8973.42739.7722,1,2,2,62,68,17,78,15,27,267, $1.34 , $0.15 , $0.19 , $0.63 , $0.29 , $0.08 , $2.68 , $5.00 ,9,14,29,11,63,,,,,,,,,,,
8973.42739.7729,1,2,2,49,86,14,58,13,15,235, $1.18 , $0.15 , $0.28 , $0.48 , $0.28 , $0.08 , $2.45 , $5.00 ,4,9,20,24,57,,,,,,,,,,,
8973.42739.7743,5,1,1,37,64,6,21,24,60,212, $0.53 , $0.10 , $0.12 , $0.63 , $0.11 , $0.05 , $1.54 , $4.75 ,3,-7,15,19,30,,,,,,,,,,,
8973.42739.7750,7,2,3,31,50,29,83,17,27,237, $1.78 , $0.15 , $0.17 , $0.84 , $0.16 , $0.08 , $3.18 , $5.00 ,4,6,22,21,53,,,,,,,,,,,
8973.42739.7785,4,1,2,86,80,23,53,14,28,284, $1.42 , $0.10 , $0.13 , $0.33 , $0.12 , $0.05 , $2.15 , $3.75 ,9,6,14,28,57,,,,,,,,,,,
8973.42739.7813,2,2,2,51,77,17,92,15,36,288, $1.44 , $0.15 , $0.28 , $0.50 , $0.29 , $0.08 , $2.74 , $5.00 ,7,5,12,30,54,,,,,,,,,,,
8973.42739.7847,1,2,3,31,54,15,42,16,24,182, $1.37 , $0.15 , $0.35 , $0.57 , $0.19 , $0.08 , $2.71 , $5.00 ,9,14,23,27,73,,,,,,,,,,,
8973.42739.7875,2,1,2,19,66,9,83,15,35,227, $1.14 , $0.10 , $0.13 , $0.30 , $0.06 , $0.05 , $1.78 , $3.75 ,5,5,17,32,59,,,,,,,,,,,
8973.42739.7882,2,1,3,19,47,11,62,16,35,190, $1.43 , $0.10 , $0.25 , $0.27 , $0.17 , $0.05 , $2.27 , $3.75 ,9,1,19,16,45,,,,,,,,,,,
8973.42739.7896,5,1,1,39,51,7,41,14,45,197, $0.49 , $0.10 , $0.17 , $0.42 , $0.10 , $0.05 , $1.33 , $4.75 ,9,8,17,38,72,,,,,,,,,,,
8973.42739.7917,1,1,2,46,61,9,60,14,26,216, $1.08 , $0.10 , $0.15 , $0.25 , $0.08 , $0.05 , $1.71 , $3.75 ,3,14,14,14,45,,,,,,,,,,,
8973.42739.7924,3,1,2,51,78,10,72,15,48,274, $1.37 , $0.10 , $0.26 , $0.40 , $0.16 , $0.05 , $2.34 , $4.25 ,4,-4,10,16,26,,,,,,,,,,,
8973.42739.7938,1,1,1,50,68,10,39,24,52,243, $0.61 , $0.10 , $0.20 , $0.34 , $0.11 , $0.05 , $1.41 , $3.75 ,7,12,20,10,49,,,,,,,,,,,
8973.42739.7951,4,2,2,75,66,32,23,12,43,251, $1.26 , $0.15 , $0.20 , $0.53 , $0.20 , $0.08 , $2.42 , $5.00 ,4,2,21,38,65,,,,,,,,,,,
8973.42739.7951,2,2,3,30,49,17,52,15,8,171, $1.28 , $0.15 , $0.23 , $0.67 , $0.40 , $0.08 , $2.81 , $5.00 ,5,15,26,27,73,,,,,,,,,,,
8973.42739.8014,5,1,2,49,64,9,53,11,31,217, $1.09 , $0.10 , $0.13 , $0.41 , $0.01 , $0.05 , $1.79 , $4.75 ,5,11,12,25,53,,,,,,,,,,,
8973.42739.8021,6,2,1,48,76,17,31,23,35,230, $0.58 , $0.15 , $0.39 , $1.33 , $0.23 , $0.08 , $2.76 , $5.00 ,4,12,27,11,54,,,,,,,,,,,
8973.42739.8056,6,1,3,29,45,14,34,16,45,183, $1.37 , $0.10 , $0.15 , $0.46 , $0.11 , $0.05 , $2.24 , $4.75 ,7,10,21,39,77,,,,,,,,,,,
8973.42739.8063,2,1,3,24,49,11,53,15,18,170, $1.28 , $0.10 , $0.08 , $0.17 , $(0.06), $0.05 , $1.62 , $3.75 ,8,12,15,35,70,,,,,,,,,,,
8973.42739.8090,1,1,2,37,79,11,50,12,32,221, $1.11 , $0.10 , $0.09 , $0.31 , $0.11 , $0.05 , $1.77 , $3.75 ,4,17,25,24,70,,,,,,,,,,,
8973.42739.8111,6,2,3,22,57,26,40,11,26,182, $1.37 , $0.15 , $0.41 , $1.30 , $0.19 , $0.08 , $3.50 , $5.00 ,3,18,35,33,89,,,,,,,,,,,
8973.42739.8146,1,1,2,24,71,9,53,13,14,184, $0.92 , $0.10 , $0.10 , $0.35 , $0.08 , $0.05 , $1.60 , $3.75 ,6,12,18,28,64,,,,,,,,,,,
8973.42739.8153,6,1,3,25,53,18,46,15,35,192, $1.44 , $0.10 , $0.23 , $0.41 , $0.10 , $0.05 , $2.33 , $4.75 ,7,13,26,33,79,,,,,,,,,,,
8973.42739.8188,5,1,3,27,38,8,39,11,33,156, $1.17 , $0.10 , $0.09 , $0.40 , $0.02 , $0.05 , $1.83 , $4.75 ,4,9,22,34,69,,,,,,,,,,,
8973.42739.8194,1,2,2,48,98,14,61,16,24,261, $1.31 , $0.15 , $0.24 , $0.56 , $0.13 , $0.08 , $2.47 , $5.00 ,6,6,16,35,63,,,,,,,,,,,
8973.42739.8208,6,2,1,42,66,23,69,21,37,258, $0.65 , $0.15 , $0.27 , $0.99 , $0.15 , $0.08 , $2.29 , $5.00 ,8,4,19,37,68,,,,,,,,,,,
8973.42739.8208,4,1,2,80,63,18,43,9,33,246, $1.23 , $0.20 , $0.10 , $0.29 , $0.11 , $0.05 , $1.98 , $3.75 ,7,7,12,21,47,,,,,,,,,,,
8973.42739.8215,3,1,2,19,91,12,38,11,31,202, $1.01 , $0.10 , $0.25 , $0.31 , $0.20 , $0.05 , $1.92 , $4.25 ,5,4,23,38,70,,,,,,,,,,,
8973.42739.8229,5,1,2,45,51,9,50,14,24,193, $0.97 , $0.10 , $0.11 , $0.67 , $0.13 , $0.05 , $2.03 , $4.75 ,8,17,24,26,75,,,,,,,,,,,
8973.42739.8271,2,2,1,38,76,20,51,24,51,260, $0.65 , $0.15 , $0.23 , $0.74 , $0.23 , $0.08 , $2.08 , $5.00 ,7,5,27,5,44,,,,,,,,,,,
8973.42739.8278,6,2,3,32,48,25,52,12,32,201, $1.51 , $0.15 , $0.43 , $1.23 , $0.17 , $0.08 , $3.57 , $5.00 ,3,19,11,29,62,,,,,,,,,,,
8973.42739.8333,5,1,2,35,51,9,66,13,26,200, $1.00 , $0.10 , $0.19 , $0.49 , $0.11 , $0.05 , $1.94 , $4.75 ,5,14,25,35,79,,,,,,,,,,,
8973.42739.8375,6,2,3,23,52,24,52,15,30,196, $1.47 , $0.15 , $0.44 , $1.21 , $0.21 , $0.08 , $3.56 , $5.00 ,5,15,36,21,77,,,,,,,,,,,
8973.42739.8417,2,2,2,45,92,16,65,17,30,265, $1.33 , $0.15 , $0.27 , $0.68 , $0.23 , $0.08 , $2.74 , $5.00 ,6,16,19,24,65,,,,,,,,,,,
8973.42739.8528,6,2,3,33,53,23,31,13,27,180, $1.35 , $0.15 , $0.44 , $1.30 , $0.16 , $0.08 , $3.48 , $5.00 ,9,10,26,39,84,,,,,,,,,,,
8973.42739.8694,4,1,1,63,71,21,66,22,26,269, $0.67 , $0.10 , $0.05 , $0.28 , $0.12 , $0.05 , $1.27 , $3.75 ,9,8,16,26,59,,,,,,,,,,,
8973.42739.8764,2,1,2,63,44,11,44,13,42,217, $1.09 , $0.10 , $0.18 , $0.27 , $0.13 , $0.05 , $1.82 , $3.75 ,6,13,7,36,62,,,,,,,,,,,
8973.42739.9063,6,2,2,57,33,23,26,17,38,194, $0.97 , $0.15 , $0.32 , $1.02 , $0.26 , $0.08 , $2.80 , $5.00 ,5,18,30,36,89,,,,,,,,,,,
8973.42740.4375,6,2,1,37,39,21,51,29,27,204, $0.51 , $0.15 , $0.48 , $1.32 , $0.20 , $0.08 , $2.74 , $5.00 ,8,15,30,21,74,,,,,,,,,,,
8973.42740.4396,7,1,1,39,23,18,53,20,43,196, $0.49 , $0.10 , $0.15 , $0.46 , $0.09 , $0.05 , $1.34 , $4.75 ,4,13,15,27,59,,,,,,,,,,,
8973.42740.4472,3,2,2,48,53,13,76,16,28,234, $1.17 , $0.15 , $0.30 , $0.75 , $0.11 , $0.08 , $2.56 , $5.00 ,7,18,28,29,82,,,,,,,,,,,
8973.42740.4528,6,2,1,35,38,21,65,24,44,227, $0.57 , $0.15 , $0.32 , $1.13 , $0.22 , $0.08 , $2.47 , $5.00 ,9,16,32,23,80,,,,,,,,,,,
8973.42740.4632,1,2,2,45,77,15,90,16,92,335, $1.68 , $0.15 , $0.30 , $0.67 , $0.21 , $0.08 , $3.09 , $5.00 ,4,-18,29,30,45,,,,,,,,,,,
